sampleID,Run,Lib_plate,Lib_plate_pos,Lib_condition,qPCR_Ct,qPCR_Quantity,Type,DNA_Plate_No,Micronix,RackID,Index_plate,Lib_pool
M12_HT18012013-02,M12,P06,D10,"1A5 & 2, 20 cycles",26.42,361.6,DNA,NA,NA,NA,NA,NA
M10_HT18022012-03,M10,P03,H10,"1A5 & 2, 15 cycles",20.6,10705,DBS,NA,NA,NA,NA,NA
M10_HT18022013-06,M10,P03,H12,"1A5 & 2, 15 cycles",17.19,92020.08255,DBS,NA,NA,NA,NA,NA
M04_HT18032010-05,M04,NA,NA,"1AB & 2, 11 cycles",20.61,10639,DBS,NA,NA,NA,NA,NA
M14_HT18042011-07,M14,P10,G05,"1A5 & 2, 15 cycles",21.1,8026.791,DBS,NA,NA,NA,NA,NA
M13_HT18072012-06,M13,P07,F04,"1A5 & 2, 20 cycles",27.75,281.2483,DNA,NA,NA,NA,NA,NA
M13_HT18072012-07,M13,P07,H07,"1A5 & 2, 20 cycles",32.46,18.4325,DNA,NA,NA,NA,NA,NA
M12_HT19012011-03,M12,P06,E09,"1A5 & 2, 20 cycles",26.66,250.1626,DBS,NA,NA,NA,NA,NA
M10_HT19022012-01,M10,P04,D03,"1A5 & 2, 15 cycles",21.12,8881.4161,DBS,NA,NA,NA,NA,NA
M14_HT19022012-01,M14,P10,B08,"1A5 & 2, 15 cycles",21.12,8881.4161,DBS,NA,NA,NA,NA,NA
M10_HT19022012-08,M10,P04,D04,"1A5 & 2, 15 cycles",19.77,17904,DBS,NA,NA,NA,NA,NA
M14_HT19022012-08,M14,P10,H07,"1A5 & 2, 15 cycles",19.77,17904,DBS,NA,NA,NA,NA,NA
M11_HT19032010-01,M11,P05,H09,"1A5 & 2, 15 cycles",21.65,7806.4092,DBS,NA,NA,NA,NA,NA
M11_HT19032010-03,M11,P05,C11,"1A5 & 2, 15 cycles",19.51,20382.38868,DBS,NA,NA,NA,NA,NA
M11_HT19032010-04,M11,P05,B09,"1A5 & 2, 15 cycles",21.76,5217.2,DBS,NA,NA,NA,NA,NA
M04_HT19032010-10,M04,NA,NA,"1AB & 2, 11 cycles",22.19,3996.9,DBS,NA,NA,NA,NA,NA
M10_HT19042013-04,M10,P03,D10,"1A5 & 2, 15 cycles",21.1,8996.8,DBS,NA,NA,NA,NA,NA
M10_HT19042013-08,M10,P03,B07,"1A5 & 2, 15 cycles",24.37,1090.2628,DBS,NA,NA,NA,NA,NA
M10_HT19042013-10,M10,P03,G09,"1A5 & 2, 15 cycles",21.63,6390.4726,DBS,NA,NA,NA,NA,NA
M14_HT19052012-14,M14,P10,G02,"1A5 & 2, 15 cycles",18.21,44272.909,DBS,NA,NA,NA,NA,NA
M12_HT19072012-01,M12,P06,F11,"1A5 & 2, 20 cycles",26.35,631.893,DNA,NA,NA,NA,NA,NA
M12_HT19112012-01,M12,P06,H07,"1A5 & 2, 20 cycles",29.12,127.2315,DNA,NA,NA,NA,NA,NA
M09_HT20012011-01,M09,P04,H12,"1A5 & 2, 15 cycles",16.02,196796.8119,DBS,NA,NA,NA,NA,NA
M09_HT20022011-01,M09,P04,C11,"1A5 & 2, 15 cycles",20.08,14775,DBS,NA,NA,NA,NA,NA
M14_HT20022011-01,M14,P10,H09,"1A5 & 2, 15 cycles",20.08,14775,DBS,NA,NA,NA,NA,NA
M10_HT20032012-02,M10,P04,F06,"1A5 & 2, 15 cycles",17.21,87473,DBS,NA,NA,NA,NA,NA
M12_HT20072012-03,M12,P06,B11,"1A5 & 2, 20 cycles",26.82,481.3713,DNA,NA,NA,NA,NA,NA
M14_HT20072012-03,M14,P06,B11,"1A5 & 2, 20 cycles",26.82,481.3713,DNA,NA,NA,NA,NA,NA
M13_HT20082012-01,M13,P07,B10,"1A5 & 2, 20 cycles",31.03,42.0593,DNA,NA,NA,NA,NA,NA
M15_HT20112012-02,M15,P08,G04,"1A5 & 2, 20 cycles",31.97,24.4695,DNA,NA,NA,NA,NA,NA
M09_HT21012011-01,M09,P04,F10,"1A5 & 2, 15 cycles",20.3,12923.86477,DBS,NA,NA,NA,NA,NA
M04_HT21012013-05,M04,NA,NA,"1AB & 2, 10 cycles",18.45,47731.1,DBS,NA,NA,NA,NA,NA
M15_HT21012013-08,M15,P11,G06,"1A5 & 2, 20 cycles",29.75,56.1,DNA,NA,NA,NA,NA,NA
